STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-01,,0,0,0,,84,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-02,,0,0,0,,82,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-03,,0.06,0,0,,83,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-04,,0.46,0,0,,84,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-05,,0.15,0,0,,83,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-06,,0.04,0,0,,84,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-07,,0.01,0,0,,84,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-08,,0.03,0,0,,85,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-09,,0.15,0,0,,85,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-10,,0.01,0,0,,85,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-11,,0.07,0,0,,82,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-12,,0.26,0,0,,85,67,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-13,,0,0,0,,85,63,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-14,,0,0,0,,85,62,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-15,,0,0,0,,85,61,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-16,,,,,,,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-17,,0.13,0,0,,83,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-18,,0.07,0,0,,84,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-19,,0.13,0,0,,84,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-20,,0.09,0,0,,83,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-21,,0.02,0,0,,86,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-22,,0,0,0,,84,67,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-23,,0,0,0,,86,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-24,,0.05,0,0,,85,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-25,,0.18,0,0,,85,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-26,,0.02,0,0,,85,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-27,,0.52,0,0,,85,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-28,,0.48,0,0,,85,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-29,,0,0,0,,84,71,
