Month,Total,Japan,United States,Pacific Islands,Taiwan,Philippines,Korea,Hong Kong,Other
01/01/05,113632,88977,4296,2492,1890,516,14585,230,646
02/01/05,102129,80955,4078,2253,3198,547,9836,403,859
03/01/05,102024,85283,4215,2716,1489,698,6584,353,686
04/01/05,86521,68197,4141,2349,1252,620,8641,284,1037
05/01/05,90342,71277,3707,2562,1895,601,9182,421,697
06/01/05,91610,72897,4294,3199,2291,518,7360,262,789
07/01/05,101886,78899,4540,3097,3205,525,10655,291,674
08/01/05,107446,84097,3530,2391,2214,447,13603,489,675
09/01/05,99112,85356,3133,2010,1505,455,5734,379,540
10/01/05,92117,75480,3327,2192,1788,781,7342,487,720
11/01/05,97808,81059,3124,2426,1183,685,8193,436,702
12/01/05,100301,82768,3474,3003,1476,658,7620,483,819
01/01/06,116128,93571,3348,2108,2622,543,12453,522,961
02/01/06,103523,84873,3461,2060,1777,497,9786,295,774
03/01/06,112033,94653,3797,2621,951,614,8411,336,650
04/01/06,85226,67530,3805,2491,942,990,8064,574,830
05/01/06,90050,70787,3670,2507,1176,854,9726,494,836
06/01/06,87056,69140,4558,3006,1330,560,7370,361,731
07/01/06,108478,83837,4184,3417,1816,586,13386,572,680
08/01/06,111985,87676,3516,2470,1104,555,15558,425,681
09/01/06,85186,70633,3237,2060,853,665,6562,470,706
10/01/06,88646,71678,3533,2138,1364,798,7631,707,797
11/01/06,94720,78031,3355,2161,1103,697,8095,649,629
12/01/06,100912,80278,3762,2821,1691,793,9984,718,865
01/01/07,107779,84481,4159,2131,1264,548,13953,437,806
02/01/07,103746,81162,3655,1970,4180,447,10593,686,1053
03/01/07,107358,91289,4140,2530,923,730,6372,558,816
04/01/07,84021,66627,4035,2223,1326,872,7515,487,936
05/01/07,83912,64596,4199,2647,1167,886,9011,510,896
06/01/07,90406,69492,4538,2923,2347,773,9122,521,690
07/01/07,108209,80638,4215,2687,3756,503,14991,576,843
08/01/07,119955,90574,5127,2424,2012,598,18060,452,708
09/01/07,90563,73550,3872,2186,1502,520,7697,489,747
10/01/07,89932,72276,4062,2530,1328,872,7609,409,846
11/01/07,93621,76311,3315,2696,972,949,7920,514,944
12/01/07,100914,80083,4273,2992,1042,1045,9904,585,990
01/01/08,106229,83724,4682,2384,1832,534,11782,305,986
02/01/08,102602,78594,4159,2128,2830,806,12428,510,1147
03/01/08,104323,86562,4733,2609,1155,1301,6525,549,889
04/01/08,79001,60758,4749,2326,1154,1123,7828,299,764
05/01/08,89368,68111,4700,2452,1195,1151,10412,426,921
06/01/08,87285,65589,5116,2842,2299,776,9456,365,842
07/01/08,99395,73887,5170,3616,3422,772,11166,513,849
08/01/08,100253,74475,4186,2810,2311,734,14794,231,712
09/01/08,80089,64537,3893,1789,1699,605,6426,215,925
10/01/08,77324,59279,4056,2534,1777,1140,7258,339,941
11/01/08,79892,64687,3593,2128,1314,866,6290,246,768
12/01/08,86146,69628,3760,2697,1604,1059,6183,272,943
01/01/09,97673,78375,4679,2091,3246,525,7256,210,1291
02/01/09,93220,77137,4233,2172,1535,818,6352,208,765
03/01/09,97513,81263,4978,2783,1731,887,4522,207,1142
04/01/09,78316,60359,4880,2361,1701,1684,6029,223,1079
05/01/09,71649,53941,4779,2512,1600,1140,6331,168,1178
06/01/09,60053,41473,5218,3087,1694,869,6613,253,846
07/01/09,97439,72901,5545,3782,2090,782,10998,263,1078
08/01/09,103545,79732,4672,2957,1987,819,12239,216,923
09/01/09,91874,78650,3715,2188,1899,762,3690,191,779
