Income Bracket,Lower Limit,Upper Limit,Median,2010,2008,2005,2003,2001
   No Income,0,0,0,2512,2622,1089,2319,2074
"Under $9,999",0,9999,4999.5,3367.5,3781,2543.5,3720.5,4764
"$10,000 – 19,999",10000,19999,14999.5,6169.5,6403,5158.5,5590.5,4958
"   $20,000 - 29,999",20000,29999,24999.5,5242,6346,5274,6283,5508
"   $30,000 - 39,999",30000,39999,34999.5,5569,5130,5331,4600,5314
"   $40,000 - 49,999",40000,49999,44999.5,4040,5054,4471,3927,3920
"   $50,000 - 59,999",50000,59999,54999.5,3567,3914,3497,3590,3305
"   $60,000 - 69,999",60000,69999,64999.5,3058,3078,3038,2431,2624
"   $70,000 - 79,999",70000,79999,74999.5,1966,2280,2178,2319,1717
"   $80,000 - 89,999",80000,89999,84999.5,2439,1748,1834,1272,1426
"   $90,000 - 99,999",90000,99999,94999.5,1565,1102,1720,486,1037
"   $100,000 & Above",100000,100000,100000,5169,4788,4127,2468,2462
